ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
167,SJSU,2019-12-11 7:42:35,2019-12-11 7:52:19,583,7,Moderately agree,Agree,Agree,Far more than other courses,Somewhat more challenging than other courses,Biochemical Sciences,Strongly agree,Strongly agree,Strongly agree
182,SJSU,2019-12-11 8:04:55,2019-12-11 8:17:49,774,1,Disagree,Disagree,Disagree,About the same as other courses,Somewhat less challenging than other courses,Sociology,Strongly agree,Strongly agree,Strongly agree
138,SJSU,2019-12-11 8:47:23,2019-12-11 8:56:24,541,10,Agree,Agree,Agree,Somewhat more than other courses,About the same as other courses,Psychology,Agree,Agree,Strongly agree
214,SJSU,2019-12-11 10:22:24,2019-12-11 11:05:34,2590,7,Agree,Neither agree nor disagree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Psychology,Agree,Moderately Agree,Agree
47,SJSU,2019-12-11 11:01:02,2019-12-11 11:13:40,758,9,Agree,Agree,Agree,Somewhat less than other courses,About the same as other courses,Nutrition Sciences,Agree,Strongly agree,Strongly agree
144,SJSU,2019-12-11 11:14:21,2019-12-11 11:52:50,2308,9,Agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Human Resources,Strongly agree,Strongly agree,Strongly agree
94,SJSU,2019-12-11 11:43:59,2019-12-11 11:53:33,573,5,Moderately agree,Neither agree nor disagree,Moderately agree,Far more than other courses,Somewhat more challenging than other courses,Criminal Justice,Strongly agree,Strongly agree,Strongly agree
152,SJSU,2019-12-11 13:36:18,2019-12-11 13:46:43,625,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Chemical Engineering,Agree,Strongly agree,Strongly agree
68,SJSU,2019-12-11 13:25:44,2019-12-11 13:47:27,1302,10,Moderately agree,Moderately disagree,Agree,Far more than other courses,Far more challenging than other courses,History,Strongly agree,Strongly agree,Strongly agree
98,SJSU,2019-12-11 13:24:47,2019-12-11 13:56:15,1887,10,Agree,Agree,Neither agree nor disagree,Somewhat more than other courses,About the same as other courses,Business Management And Administration,Agree,Agree,Agree
203,SJSU,2019-12-11 13:55:14,2019-12-11 14:10:18,904,10,Agree,Agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Marketing,Agree,Strongly agree,Agree
195,SJSU,2019-12-11 14:00:40,2019-12-11 14:22:19,1298,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Nursing,Strongly agree,Strongly agree,Strongly agree
